audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,
matching_annotaudio_Aditya_2018-08-16_2324_129,0.76,0.456,R,70,0.537,0.56,26.19,0.044,0.052,,
matching_annotaudio_Aditya_2018-08-16_2324_130,0.84,2.688,R,50,2.722,2.745,20.24,2.712,2.721,,
matching_annotaudio_Aditya_2018-08-16_2324_131,0.5,NA,L,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_132,1,NA,L,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_135,0.49,0.0784,R,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_136,0.49,NA,R,NA,NA,NA,NA,NA,NA,Overlapping HSB-FM call.,
matching_annotaudio_Aditya_2018-08-16_2324_138,0.16,NA,L,NA,NA,NA,NA,NA,NA,No clear call,
matching_annotaudio_Aditya_2018-08-16_2324_139,0.88,NA,L,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_140,0.79,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
matching_annotaudio_Aditya_2018-08-16_2324_141,0.93,NA,L,NA,NA,NA,NA,NA,NA,HSB calls at peak freq. 80kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_142,0.25,NA,R,NA,NA,NA,NA,NA,NA,HSB calls at peak freq. 80kHz.,
matching_annotaudio_Aditya_2018-08-16_2324_143,0.27,0.5616,L,60,0.493,0.512,28.4,0.485,0.491,,
matching_annotaudio_Aditya_2018-08-16_2324_148,0.6,0.672,R,60,1.002,1.017,21.57,0.407,0.413,,
matching_annotaudio_Aditya_2018-08-16_2324_149,0.77,NA,R,NA,NA,NA,NA,NA,NA,Overlapping HSB-FM call.,
matching_annotaudio_Aditya_2018-08-16_2324_150,0.84,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation between FM bat and HSB,
matching_annotaudio_Aditya_2018-08-16_2324_151,0.59,NA,R,NA,NA,NA,NA,NA,NA,FM calls only,
