audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments
matching_annotaudio_Aditya_2018-08-17_45_286,0.3,NA,R,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_287,0.22,NA,L,NA,NA,NA,NA,NA,NA,There is only one bat in the video. However prominent myotis calls + HSB calls
matching_annotaudio_Aditya_2018-08-17_45_290,0.52,0.208,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_291,0.53,NA,L,NA,NA,NA,NA,NA,NA,"There is only one bat in the video. However prominent myotis calls + HSB calls. Succeeding this is another bat coming into the cave in a few frames,"
matching_annotaudio_Aditya_2018-08-17_45_292,0.51,NA,R,NA,NA,NA,NA,NA,NA,2 bat situation -  very prominent myotis calls and HSB calls. One of the bat would be a myotis
matching_annotaudio_Aditya_2018-08-17_45_293,0.72,NA,R,NA,NA,NA,NA,NA,NA,3 bat situation -  very prominent myotis calls and HSB calls. One of the bat would be a myotis
matching_annotaudio_Aditya_2018-08-17_45_295,0.86,NA,L,NA,NA,NA,NA,NA,NA,3 bat situation -  very prominent myotis calls and HSB calls. One of the bat would be a myotis
matching_annotaudio_Aditya_2018-08-17_45_296,0.33,NA,L,NA,NA,NA,NA,NA,NA,2 bat situation -  very prominent myotis calls and HSB calls. One of the bat would be a myotis
matching_annotaudio_Aditya_2018-08-17_45_297,0.26,NA,L,NA,NA,NA,NA,NA,NA,3 bat situation -  very prominent myotis calls and HSB calls. One of the bat would be a myotis
matching_annotaudio_Aditya_2018-08-17_45_298,0.64,NA,L,NA,NA,NA,NA,NA,NA,3 bat situation -  very prominent myotis calls and HSB calls. One of the bat would be a myotis
matching_annotaudio_Aditya_2018-08-17_45_299,0.13,NA,R,NA,NA,NA,NA,NA,NA,Only myotis calls
matching_annotaudio_Aditya_2018-08-17_45_300,0.29,NA,L,NA,NA,NA,NA,NA,NA,Only myotis calls
matching_annotaudio_Aditya_2018-08-17_45_301,0.35,NA,R,NA,NA,NA,NA,NA,NA,Only myotis calls
matching_annotaudio_Aditya_2018-08-17_45_302,0.51,0.1428,L,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_303,0.87,0.4176,L,40,0.298,0.327,20,0.356,0.386,
matching_annotaudio_Aditya_2018-08-17_45_304,0.89,NA,R,NA,NA,NA,NA,NA,NA,Only myotis calls
matching_annotaudio_Aditya_2018-08-17_45_305,0.95,NA,L,NA,NA,NA,NA,NA,NA,Only myotis calls
matching_annotaudio_Aditya_2018-08-17_45_306,0.98,NA,R,NA,NA,NA,NA,NA,NA,"Incorrect annotation, however myotis calls only"
matching_annotaudio_Aditya_2018-08-17_45_307,0.25,NA,L,NA,NA,NA,NA,NA,NA,There is only bat flying. However there is another bat inside the roost. Both HSB and FM calls
matching_annotaudio_Aditya_2018-08-17_45_308,0.06,NA,L,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_309,0.59,NA,L,NA,NA,NA,NA,NA,NA,"Myotis calls. Towards the end, there are HSB calls. Succeeding this is a 2 bat situation."
matching_annotaudio_Aditya_2018-08-17_45_310,0.44,NA,NA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_311,0.95,NA,NA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_312,0.45,NA,NA,NA,NA,NA,NA,NA,NA,Prominent myotis and HSB calls. There is only one bat in the cave. However succeeding this is a 2 bat situation.
matching_annotaudio_Aditya_2018-08-17_45_314,0.86,NA,NA,NA,NA,NA,NA,NA,NA,3 bat situation -    myotis calls and HSB calls. One of the bat would be a myotis
matching_annotaudio_Aditya_2018-08-17_45_316,0.42,0.3528,NA,NA,NA,NA,NA,NA,NA,2 bat situation- however there are faint myotis calls. Not very prominent. But still can be seen as 'pink''
matching_annotaudio_Aditya_2018-08-17_45_317,0.42,0.1344,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_318,0.52,0.936,R,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_319,0.41,NA,NA,NA,NA,NA,NA,NA,NA,No clear call
matching_annotaudio_Aditya_2018-08-17_45_320,0.04,NA,NA,NA,NA,NA,NA,NA,NA,There is only one bat in the cave. However there is prominent mytois call in addition to HSB call
matching_annotaudio_Aditya_2018-08-17_45_321,0.68,0.21828,L,70,0.042,0.065,20.69,0.162,0.168,
matching_annotaudio_Aditya_2018-08-17_45_322,0.05,0.018,R,80,0.162,0.193,27.3,0.322,0.324,
matching_annotaudio_Aditya_2018-08-17_45_323,0.44,1.3904,NA,NA,NA,NA,NA,NA,NA,Prominent Myotis calls 
matching_annotaudio_Aditya_2018-08-17_45_324,0.4,NA,NA,NA,NA,NA,NA,NA,NA,There are  3-4 'light pink' myotis calls. Hence not annotated. It is a 2 bat situation.
matching_annotaudio_Aditya_2018-08-17_45_325,0.67,NA,NA,NA,NA,NA,NA,NA,NA,3-4 myotis calls in addition to HSB calls. There is only one bat flying in the cave. Myotis calls could be of the ones flying in the corridor
matching_annotaudio_Aditya_2018-08-17_45_326,0.81,0.6804,L,50,0.291,0.319,29.22,0.329,0.334,
matching_annotaudio_Aditya_2018-08-17_45_327,0.04,NA,NA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_329,0.38,NA,nA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_330,0.78,NA,nA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_332,0.04,NA,nA,NA,NA,NA,NA,NA,NA,HSB calls + myotis calls
matching_annotaudio_Aditya_2018-08-17_45_333,0.43,NA,nA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_334,0.5,NA,nA,NA,NA,NA,NA,NA,NA,2 bat situation - prominent myotis + HSB calls.
matching_annotaudio_Aditya_2018-08-17_45_336,0.97,NA,nA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_337,0.25,0.11,L,55,0.083,0.107,20.73,0.317,0.32,There are very faint remaining parts of FM call.
matching_annotaudio_Aditya_2018-08-17_45_339,0.84,1.9488,R,70,1.954,1.983,26.85,2.02,2.033,
matching_annotaudio_Aditya_2018-08-17_45_340,0.56,1.0528,R,55,1.202,1.221,31.53,1.015,1.026,
matching_annotaudio_Aditya_2018-08-17_45_341,0.3,0.444,L,45,0.286,0.313,20.45,0.263,0.278,
matching_annotaudio_Aditya_2018-08-17_45_342,0.32,0.2816,R,55,0.294,0.315,44.42,0.274,0.284,
matching_annotaudio_Aditya_2018-08-17_45_344,0.48,NA,NA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_345,0.1,NA,NA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_346,0.16,NA,NA,NA,NA,NA,NA,NA,NA,2 bat situation - prominent myotis + HSB calls.
matching_annotaudio_Aditya_2018-08-17_45_347,0.31,1.2028,NA,NA,NA,NA,NA,NA,NA,There are quite a few 'light pink' myotis calls even after HP filter. 
matching_annotaudio_Aditya_2018-08-17_45_348,0.27,0.6912,R,80,1.813,1.832,21.85,1.87,1.881,There are very faint remaining parts of FM call.
matching_annotaudio_Aditya_2018-08-17_45_349,0.13,NA,NA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_350,0.38,NA,NA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_351,0.93,NA,NA,NA,NA,NA,NA,NA,NA,Myotis calls only
matching_annotaudio_Aditya_2018-08-17_45_352,0.68,NA,NA,NA,NA,NA,NA,NA,NA,Myotis calls only
