,audio_annotation_file,start_random_point,search_start_time(s),Direction,No._of_ms_whole_screen,call_start_time,call_end_time,SNR(dB RMS),Silent_period_Start,Silent_period_end,Comments,Unnamed: 11,Unnamed: 1,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,fm2_start_time,fm2_end_time,fm2_dbrms
120,matching_annotaudio_Aditya_2018-08-17_34_1,33.0,0.792,R,60.0,2.031,2.05,28.15,2.009,2.027,,,0.33,,,,,,,,,,
121,matching_annotaudio_Aditya_2018-08-17_34_2,76.0,0.6992,L,60.0,0.313,0.32799999999999996,21.53,0.306,0.5821,,,0.76,,,,,,,,,,
124,matching_annotaudio_Aditya_2018-08-17_34_7,52.0,0.6448,R,80.0,1.1540000000000001,1.176,20.56,1.135,1.151,There is some echo present just after the call,,0.52,,,,,,,,,,
125,matching_annotaudio_Aditya_2018-08-17_34_12,74.0,1.6872,R,75.0,0.054000000000000006,0.083,25.69,0.039,0.051,There is some echo present just after the call,,0.74,,,,,,,,,,
126,matching_annotaudio_Aditya_2018-08-17_34_18,59.0,2.0296,L,55.0,3.0639999999999996,3.12,33.38,3.1289999999999996,3.141,,,0.59,,,,,,,,,,
127,matching_annotaudio_Aditya_2018-08-17_34_19,22.0,0.35200000000000004,R,50.0,0.386,0.40399999999999997,20.59,0.371,0.384,,,0.22,,,,,,,,,,
128,matching_annotaudio_Aditya_2018-08-17_34_20,26.0,0.364,R,85.0,0.38299999999999995,0.41200000000000003,24.75,0.369,0.38,,,0.26,,,,,,,,,,
130,matching_annotaudio_Aditya_2018-08-17_34_22,76.0,1.064,R,60.0,0.528,0.5489999999999999,35.05,0.24100000000000002,0.247,,,0.76,,,,,,,,,,
135,matching_annotaudio_Aditya_2018-08-17_34_32,50.0,2.82,L,45.0,0.423,0.447,20.41,0.41200000000000003,0.421,There seems to be a small interference pattern in the downward FM,,0.5,,,,,,,,,,
137,matching_annotaudio_Aditya_2018-08-17_34_35,9.0,0.0576,L,,0.451,0.469,36.7,0.524,0.529,,,0.09,,,,,,,,,,
138,matching_annotaudio_Aditya_2018-08-17_34_36,59.0,2.5252,L,70.0,0.9490000000000001,0.9690000000000001,35.58,0.9359999999999999,0.946,,,0.59,,,,,,,,,,
140,matching_annotaudio_Aditya_2018-08-17_34_39,81.0,0.2268,R,70.0,0.016,0.039,31.37,0.23,0.239,,,0.81,,,,,,,,,,
141,matching_annotaudio_Aditya_2018-08-17_34_40,29.0,0.3625,L,60.0,0.33899999999999997,0.359,31.32,0.318,0.332,,,0.29,,,,,,,,,,
142,matching_annotaudio_Aditya_2018-08-17_34_41,8.0,0.0448,R,60.0,0.302,0.35200000000000004,35.75,0.287,0.301,,,0.08,,,,,,,,,,
143,matching_annotaudio_Aditya_2018-08-17_34_43,55.0,0.924,R,60.0,0.992,1.0170000000000001,35.88,0.779,0.794,,,0.55,,,,,,,,,,
145,matching_annotaudio_Aditya_2018-08-17_34_49,46.0,0.828,L,60.0,0.34299999999999997,0.38299999999999995,41.57,0.322,0.337,,,0.46,,,,,,,,,,
147,matching_annotaudio_Aditya_2018-08-17_34_52,10.0,0.46799999999999997,R,70.0,0.467,0.519,22.28,0.564,0.591,,,0.1,,,,,,,,,,
148,matching_annotaudio_Aditya_2018-08-17_34_53,13.0,0.2652,R,60.0,1.6869999999999998,1.715,26.65,1.68,1.686,The down-FM is faint and there are echoes after the end of CF part,,0.13,,,,,,,,,,
149,matching_annotaudio_Aditya_2018-08-17_34_54,57.0,0.2508,L,55.0,0.013999999999999999,0.054000000000000006,38.99,0.071,0.082,,,0.57,,,,,,,,,,
151,matching_annotaudio_Aditya_2018-08-17_34_56,57.0,2.1204,L,60.0,2.312,2.333,33.0,2.293,2.308,,,0.57,,,,,,,,,,
157,matching_annotaudio_Aditya_2018-08-17_34_64,59.0,0.9728,L,50.0,0.757,0.777,30.84,0.8390000000000001,0.855,,,0.59,,,,,,,,,,
158,matching_annotaudio_Aditya_2018-08-17_34_65,32.0,0.4736,L,45.0,0.08199999999999999,0.107,31.06,0.067,0.081,There is a trail of echoes present after the call ends,,0.32,,,,,,,,,,
161,matching_annotaudio_Aditya_2018-08-17_34_69,64.0,1.5616,R,75.0,2.092,2.1109999999999998,24.0,2.0780000000000003,2.091,,,0.64,,,,,,,,,,
162,matching_annotaudio_Aditya_2018-08-17_34_71,72.0,0.28800000000000003,L,50.0,0.033,0.057999999999999996,27.9,0.067,0.086,There are echoes of the previous call just before the call starts,,0.72,,,,,,,,,,
163,matching_annotaudio_Aditya_2018-08-17_34_72,71.0,0.5396,R,60.0,0.17800000000000002,0.196,22.68,0.34700000000000003,0.355,,,0.71,,,,,,,,,,
165,matching_annotaudio_Aditya_2018-08-17_34_77,51.0,1.3464,R,,2.428,2.461,29.57,2.411,2.428,,,0.51,,,,,,,,,,
166,matching_annotaudio_Aditya_2018-08-17_34_78,73.0,3.2412,L,70.0,0.447,0.484,26.13,0.428,0.444,,,0.73,,,,,,,,,,
167,matching_annotaudio_Aditya_2018-08-17_34_79,69.0,2.7876,L,60.0,1.157,1.1840000000000002,28.62,1.137,1.155,,,0.69,,,,,,,,,,
169,matching_annotaudio_Aditya_2018-08-17_34_81,52.0,0.20800000000000002,L,,0.17300000000000001,0.188,24.21,0.309,0.33,Silent interval from Annotation - 40. Faint echoes before call starts,,0.52,,,,,,,,,,
172,matching_annotaudio_Aditya_2018-08-17_34_111,72.0,1.8719999999999999,R,70.0,1.7990000000000002,1.819,39.46,0.285,0.295,"Since it�s a very intense call, there are echoes.",,0.72,,,,,,,,,,
173,matching_annotaudio_Aditya_2018-08-17_34_120,55.0,0.418,L,50.0,0.251,0.27,29.87,0.23600000000000002,0.245,,,0.55,,,,,,,,,,
176,matching_annotaudio_Aditya_2018-08-17_34_132,24.0,1.3728,L,50.0,0.261,0.294,27.2,0.23800000000000002,0.256,,,0.24,,,,,,,,,,
177,matching_annotaudio_Aditya_2018-08-17_34_133,91.0,5.1688,R,45.0,2.3209999999999997,2.351,20.61,2.295,2.315,,,0.91,,,,,,,,,,
178,matching_annotaudio_Aditya_2018-08-17_34_134,33.0,0.2772,L,55.0,0.223,0.243,36.97,0.214,0.221,,,0.33,,,,,,,,,,
182,matching_annotaudio_Aditya_2018-08-17_34_142,36.0,0.8640000000000001,L,70.0,0.122,0.14800000000000002,20.54,0.152,0.163,,,0.36,,,,,,,,,,
184,matching_annotaudio_Aditya_2018-08-17_34_144,86.0,0.3612,L,50.0,2.568,2.592,37.55,2.5469999999999997,2.562,There are faint myotis calls at the start of the call,,0.86,,,,,,,,,,
185,matching_annotaudio_Aditya_2018-08-17_34_145,15.0,0.102,R,70.0,0.111,0.14,20.49,0.096,0.111,Not extremely confident. There are myotis calls also. Little interference at the start of upward FM,,0.15,,,,,,,,,,
186,matching_annotaudio_Aditya_2018-08-17_34_147,20.0,0.256,L,80.0,0.27399999999999997,0.293,31.9,0.259,0.273,,,0.2,,,,,,,,,,
187,matching_annotaudio_Aditya_2018-08-17_34_149,9.0,0.0684,R,50.0,0.01,0.028999999999999998,23.64,0.12,0.131,,,0.09,,,,,,,,,,
188,matching_annotaudio_Aditya_2018-08-17_34_151,17.0,0.1088,L,45.0,0.075,0.09699999999999999,31.47,0.059000000000000004,0.073,There is a faint echo at the start,,0.17,,,,,,,,,,
193,matching_annotaudio_Aditya_2018-08-17_34_158,58.0,0.4408,R,50.0,0.5670000000000001,0.588,22.98,0.6729999999999999,0.679,There are echoes before the start of the call,,0.58,,,,,,,,,,
195,matching_annotaudio_Aditya_2018-08-17_34_165,49.0,1.5484,L,50.0,2.04,2.0580000000000003,29.69,2.07,2.079,,,0.49,,,,,,,,,,
196,matching_annotaudio_Aditya_2018-08-17_34_168,28.0,0.2016,R,50.0,0.188,0.204,37.99,0.175,0.186,Faint echoes at the start of the call since the call is very loud,,0.28,,,,,,,,,,
197,matching_annotaudio_Aditya_2018-08-17_34_169,42.0,0.2688,R,45.0,0.115,0.134,41.57,0.522,0.542,"Here also, there are some faint echoes at the start",,0.42,,,,,,,,,,
198,matching_annotaudio_Aditya_2018-08-17_34_170,44.0,0.4048,R,55.0,0.507,0.527,21.78,0.49,0.502,,,0.44,,,,,,,,,,
199,matching_annotaudio_Aditya_2018-08-17_34_171,93.0,5.0592,R,45.0,2.1790000000000003,2.219,25.61,2.231,2.24,,,0.93,,,,,,,,,,
200,matching_annotaudio_Aditya_2018-08-17_34_201,9.0,0.4572,R,80.0,0.637,0.66,26.64,0.6990000000000001,0.716,,,0.09,,,,,,,,,,
201,matching_annotaudio_Aditya_2018-08-17_34_202,76.0,17.137999999999998,R,45.0,3.245,3.266,24.88,3.235,3.243,,,0.76,,,,,,,,,,
202,matching_annotaudio_Aditya_2018-08-17_34_208,17.0,0.5372,R,70.0,1.597,1.62,28.44,1.587,1.595,,,0.17,,,,,,,,,,
203,matching_annotaudio_Aditya_2018-08-17_34_211,41.0,1.0496,L,80.0,0.149,0.17300000000000001,26.35,0.139,0.149,,,0.41,,,,,,,,,,
204,matching_annotaudio_Aditya_2018-08-17_01_24,0.85,0.544,L,80.0,0.037000000000000005,0.059000000000000004,24.93,0.191,0.195,There are faint echoes along with the call.,,,,,,,,,,,,
205,matching_annotaudio_Aditya_2018-08-17_45_1,0.58,1.044,L,55.0,0.052000000000000005,0.071,22.02,0.08199999999999999,0.092,,,,,,,,,,,,,
209,matching_annotaudio_Aditya_2018-08-17_45_22,0.9,0.54,R,70.0,0.34299999999999997,0.36,25.36,0.325,0.33799999999999997,,,,,,,,,,,,,
210,matching_annotaudio_Aditya_2018-08-17_45_24,0.42,1.2768,L,45.0,0.142,0.16399999999999998,22.23,0.125,0.134,,,,,,,,,,,,,
211,matching_annotaudio_Aditya_2018-08-17_45_25,0.89,2.7412,L,50.0,2.6910000000000003,2.7239999999999998,25.32,2.7510000000000003,2.761,,,,,,,,,,,,,
213,matching_annotaudio_Aditya_2018-08-17_45_29,0.61,0.7808,R,45.0,0.36200000000000004,0.392,36.6,0.406,0.41600000000000004,,,,,,,,,,,,,
220,matching_annotaudio_Aditya_2018-08-17_45_100,0.38,0.5624,L,70.0,1.042,1.071,23.72,1.024,1.042,There is one 'pink' myotis call in between,,,,,,,,,,,,
221,matching_annotaudio_Aditya_2018-08-17_45_113,0.57,0.5472,R,60.0,0.086,0.114,31.09,0.079,0.085,,,,,,,,,,,,,
223,matching_annotaudio_Aditya_2018-08-17_45_116,0.34,1.5232,R,70.0,3.48,3.5069999999999997,21.92,3.5180000000000002,3.545,,,,,,,,,,,,,
224,matching_annotaudio_Aditya_2018-08-17_45_117,0.98,0.6272,L,75.0,0.61,0.632,25.26,0.5539999999999999,0.562,The intensity of the second half of the call is low. Not sure whether it happens because of interference,,,,,,,,,,,,
225,matching_annotaudio_Aditya_2018-08-17_45_118,0.94,11.5432,R,40.0,9.892000000000001,9.908999999999999,27.11,10.062999999999999,10.076,,,,,,,,,,,,,
226,matching_annotaudio_Aditya_2018-08-17_45_119,0.92,6.6976,L,60.0,2.037,2.057,28.63,1.8780000000000001,1.881,,,,,,,,,,,,,
228,matching_annotaudio_Aditya_2018-08-17_45_122,0.48,0.2112,R,40.0,0.19699999999999998,0.217,26.15,0.09699999999999999,0.111,Silent period taken from 45_104,,,,,,,,,,,,
